由于原始数据中，炮号与实际炮号不对应，需要进行修正，具体对应关系如下：
原始炮号   实际炮号
   1    ->   31
   2    ->   32
   3    ->   33
   4    ->   25
   5    ->   26
   6    ->   27
   7    ->   19
   8    ->   20
   9    ->   21
   10   ->   13
   11   ->   14
   12   ->   15
   13   ->   7
   14   ->   8
   15   ->   9
   16   ->   1
   17   ->   2
   18   ->   3
   19   ->   34
   20   ->   35
   21   ->   36
   22   ->   28
   23   ->   29
   24   ->   30
   25   ->   22
   26   ->   23
   27   ->   24
   28   ->   16
   29   ->   17
   30   ->   18
   31   ->   10
   32   ->   11
   33   ->   12
   34   ->   4
   35   ->   5
   36   ->   6
