X坐标	Y坐标	煤厚m
76.78 	139.76 	3.6
77.45 	127.88 	2.9
77.31 	118.80 	3.1
76.97 	106.83 	3.3
76.86 	94.82 	3.6
76.36 	72.24 	2.5
75.98 	52.73 	4
75.62 	34.73 	4.1
75.32 	15.13 	3
77.11 	-1.83 	3.6
83.38 	13.63 	2.3
84.06 	33.15 	2.2
84.68 	48.09 	3.6
85.22 	63.19 	3.4
85.76 	78.29 	2.6
86.37 	93.31 	2.6
86.83 	108.33 	2.6
87.37 	123.27 	2.2
91.52 	139.84 	4.5
104.34 	139.48 	4.1
102.33 	122.88 	2
101.57 	107.87 	1.5
101.35 	103.52 	3.6
100.75 	89.95 	4.6
100.23 	80.96 	2.4
99.84 	70.52 	2.2
99.32 	61.45 	2.9
98.75 	49.40 	3
98.61 	44.98 	2.5
97.96 	32.94 	2.2
96.97 	13.27 	2.3
93.76 	-1.86 	3
98.87 	-1.63 	2.8
106.34 	-1.98 	3.2
109.40 	13.00 	2.3
110.09 	32.67 	2.2
110.57 	49.22 	2.2
110.83 	61.19 	2.2
111.32 	77.66 	2.2
111.56 	83.68 	3.1
112.03 	98.78 	1.5
112.24 	107.70 	1.3
112.43 	115.18 	1.5
112.71 	122.80 	1.8
112.82 	130.35 	1.4
116.09 	139.38 	4.3
129.17 	139.02 	2.4
130.36 	122.45 	2.1
130.10 	115.59 	2.1
129.71 	104.99 	1.5
129.36 	97.52 	1.9
128.88 	80.97 	2.7
128.36 	67.48 	2.5
127.83 	52.46 	2.4
127.29 	37.36 	2.2
126.70 	19.45 	2.6
121.55 	-2.60 	3.3
137.05 	-2.15 	4.5
151.46 	-2.68 	5.3
150.92 	17.16 	2.6
150.62 	32.12 	1.7
150.32 	47.15 	2.5
150.21 	54.71 	1.5
149.94 	62.11 	1.5
149.65 	77.22 	1.5
149.34 	92.25 	1
149.19 	96.83 	1
149.13 	102.78 	1.4
149.04 	107.13 	1.6
148.67 	122.39 	1.5
140.54 	139.00 	1.5
154.04 	138.94 	3.4
157.35 	126.61 	3.3
157.28 	122.11 	3.8
157.38 	108.60 	3.2
157.41 	101.05 	3
157.54 	84.50 	1.5
157.65 	77.09 	1.7
157.84 	54.51 	1.6
157.87 	47.03 	2
157.91 	39.41 	2.7
157.94 	31.93 	3.2
157.98 	24.45 	3
158.13 	9.42 	2.7
169.82 	138.62 	2.7
164.31 	117.57 	3.8
164.87 	99.56 	4.1
165.10 	95.06 	4.2
165.13 	91.93 	3.6
165.40 	84.91 	2
165.77 	74.45 	2.1
165.96 	66.90 	1.6
166.15 	59.49 	1.9
166.42 	51.94 	1.8
166.58 	47.51 	2.1
166.96 	37.89 	1.9
167.15 	30.49 	2.5
167.45 	19.96 	3
167.68 	15.45 	3.8
167.17 	-2.85 	3.1
182.77 	-3.17 	4.2
178.95 	6.28 	3.5
178.57 	16.66 	3.6
178.23 	27.27 	3.7
177.78 	42.30 	1.8
177.46 	51.31 	1.1
177.20 	58.71 	1.8
177.06 	64.89 	2.2
176.87 	72.22 	2.8
176.48 	81.23 	3.4
176.31 	90.31 	3.7
176.00 	99.39 	3.5
175.60 	108.32 	4
175.15 	123.51 	3.1
179.87 	137.85 	3.3
185.77 	124.72 	2.8
186.07 	114.18 	2.5
186.33 	106.55 	2.6
186.65 	97.62 	3.2
186.74 	88.70 	3.4
187.09 	76.64 	4.4
187.57 	58.63 	3.2
188.18 	39.09 	3
188.45 	31.61 	3.3
188.83 	11.92 	5.5
197.29 	-3.24 	6.6
199.17 	10.23 	3.5
199.05 	22.37 	4.2
198.83 	37.24 	4.1
198.70 	53.80 	3.2
198.38 	67.31 	4.4
198.37 	76.46 	4.4
198.15 	86.99 	3.3
198.11 	98.97 	2.9
197.72 	123.01 	2.5
190.98 	138.29 	2.5
210.73 	137.98 	5.3
201.02 	138.13 	5.5
206.11 	131.88 	3.3
206.54 	115.32 	4.7
206.92 	100.43 	4
207.30 	85.40 	4.1
207.73 	68.76 	4.7
208.13 	50.75 	4.8
208.54 	32.82 	4.7
209.11 	10.16 	5.8
214.15 	-3.88 	5
220.42 	7.01 	6.8
220.78 	25.00 	6.4
221.05 	49.03 	5.4
221.06 	64.06 	4.4
221.56 	86.48 	4.6
221.62 	100.13 	4.9
221.83 	113.71 	4.5
221.86 	125.68 	4.9
223.34 	137.71 	6.8
238.66 	137.70 	4.3
234.16 	117.86 	5.7
234.16 	98.41 	5.2
234.03 	84.99 	5.7
234.15 	68.35 	4.6
234.02 	50.20 	5.1
234.00 	33.80 	5.7
234.11 	11.37 	5.2
225.02 	-3.90 	6.3
238.37 	-4.03 	5.8
255.76 	-4.15 	4.8
257.55 	17.95 	4.2
258.16 	32.97 	4.2
258.80 	49.36 	4.4
259.42 	64.45 	5.2
260.05 	81.00 	5.4
260.69 	97.46 	5.7
261.19 	109.66 	5.7
261.59 	120.64 	5.2
252.01 	137.42 	6.1
271.30 	137.12 	6.5
283.88 	121.67 	6.5
282.57 	96.28 	6.5
281.55 	75.32 	5.5
280.71 	60.15 	6.8
279.79 	40.64 	6.5
279.13 	27.22 	5.8
278.36 	12.06 	5.2
270.47 	-4.53 	6.1
282.76 	-4.49 	5.6
295.87 	-4.77 	4.6
295.67 	8.89 	5.4
296.25 	26.81 	4.5
296.72 	41.90 	5.2
297.23 	59.97 	6.3
297.81 	77.89 	8
298.47 	95.81 	8
299.03 	117.01 	7.3
293.39 	136.93 	5.5
311.48 	136.65 	3.3
307.20 	116.80 	6.4
306.97 	101.78 	7.7
306.84 	88.43 	6.5
306.74 	67.30 	7.2
306.43 	52.36 	6.7
306.27 	37.33 	5.8
306.19 	22.07 	4.6
305.96 	7.13 	5.7
305.09 	-4.84 	6.1
315.25 	6.98 	6.5
316.10 	26.73 	5.6
316.86 	41.51 	7.3
317.63 	56.61 	6.7
318.32 	71.55 	6.3
318.91 	85.12 	4
320.03 	108.14 	4.2
320.87 	122.62 	5.2
324.36 	136.52 	3.5
335.27 	136.35 	4.5
329.39 	121.11 	5.5
328.65 	102.97 	5.9
327.99 	85.05 	6.1
327.60 	70.11 	6
326.99 	50.43 	7.9
326.45 	35.41 	9.2
325.38 	5.38 	7.4
325.84 	20.47 	7.2
330.78 	-5.39 	6.2
340.61 	8.11 	8.4
341.17 	24.66 	7.8
341.60 	42.43 	9.7
342.09 	59.28 	7.7
342.55 	74.07 	6.8
343.01 	89.17 	7.3
343.45 	102.82 	8.6
343.83 	117.68 	7
345.49 	135.74 	3.8
357.54 	135.70 	3.3
351.13 	116.05 	6.2
350.67 	101.10 	6.6
350.15 	87.61 	5.9
349.45 	66.72 	6.2
348.83 	51.62 	6.7
348.45 	36.52 	4.8
347.98 	21.50 	6.6
347.37 	6.41 	5.7
349.16 	-5.60 	6.2
63.66 	139.81 	3.6
62.52 	125.03 	3.7
62.77 	107.02 	3.5
62.81 	94.97 	3.8
62.94 	78.41 	3.8
63.01 	63.38 	4.1
63.11 	45.45 	5.2
63.33 	34.85 	4.2
63.38 	18.29 	3.6
61.01 	-1.50 	3.9
-4.03 	141.32 	8.1
4.45 	127.38 	9.4
4.54 	113.88 	10.7
4.44 	97.32 	10.2
4.43 	82.22 	9
4.35 	67.35 	6.7
4.30 	53.84 	4.7
4.35 	32.64 	2.4
4.29 	19.13 	1.9
-3.19 	-0.66 	2.3
11.30 	-0.81 	0.8
14.92 	19.05 	1.7
14.62 	34.23 	4.2
14.41 	49.64 	6.4
14.17 	64.07 	7.5
13.77 	77.65 	4.9
13.62 	92.68 	7.9
13.33 	108.25 	7.8
13.05 	124.35 	4.8
6.29 	141.24 	5
22.75 	140.75 	3.1
21.33 	118.19 	8.7
21.50 	104.61 	6.7
21.64 	94.01 	5
21.91 	82.18 	5.7
22.17 	63.94 	7.2
22.60 	43.03 	4.7
22.88 	31.05 	3.7
23.28 	12.89 	4.4
27.64 	-1.21 	4.5
30.99 	8.35 	5
30.72 	20.33 	4.8
30.34 	35.36 	4.8
29.89 	50.40 	6.2
29.51 	65.35 	8
29.16 	82.06 	7.2
28.89 	93.97 	9
28.72 	102.97 	8.2
28.34 	117.93 	5.7
32.43 	140.45 	3
38.83 	125.32 	5.2
38.91 	110.37 	5.5
39.21 	95.33 	4.7
39.23 	81.91 	6.2
39.60 	66.80 	5.7
39.60 	51.77 	6.1
39.85 	33.76 	5.2
39.95 	15.76 	4.3
49.98 	-1.49 	4.1
45.52 	15.67 	3.8
52.35 	18.46 	4
45.47 	32.15 	4.9
45.25 	47.18 	6.1
45.23 	60.61 	6.9
45.15 	80.14 	5.7
44.96 	92.27 	5.3
44.84 	104.32 	4.2
44.63 	125.31 	4.6
47.23 	140.45 	3.4
52.41 	125.26 	5.2
52.41 	105.73 	6
52.25 	95.13 	5.2
52.30 	78.65 	4.6
52.21 	63.47 	6.5
52.18 	51.57 	6.2
52.15 	35.10 	4.5
-16.49 	141.51 	7.3
-24.22 	124.77 	7.9
-10.85 	126.17 	9.9
-23.97 	106.77 	7.2
-11.24 	110.99 	10.6
-23.80 	93.26 	6.1
-11.51 	93.30 	8.9
-23.65 	78.16 	3.6
-11.90 	78.05 	7
-23.48 	64.73 	1.8
-12.04 	64.47 	2.4
-12.28 	53.95 	2.9
-23.12 	48.24 	2.2
-12.76 	32.83 	2.2
-22.89 	28.71 	2.8
-12.99 	18.03 	2.9
-22.69 	12.23 	4
-22.88 	-0.20 	4.7
