X坐标	Y坐标	煤厚m
13.69 	2	1.4
16.80 	2	1.4
19.27 	2	1.2
21.59 	2	1.6
94.66 	2	3
99.50 	2	2.8
110.64 	2	3.6
115.91 	2	3.2
129.97 	2	4.5
146.51 	2	5.8
152.37 	2	5.1
155.66 	2	4.9
159.13 	2	4.7
161.92 	2	4.9
164.86 	2	3.6
167.69 	2	3.2
172.43 	2	3.8
176.28 	2	4.2
181.59 	2	4.3
184.41 	2	3.9
191.30 	2	5.1
195.03 	2	5.9
197.95 	2	6.3
201.25 	2	6.3
206.08 	2	6.3
212.17 	2	5.5
215.04 	2	5
220.77 	2	6.1
256.88 	2	4.5
265.19 	2	4.9
269.52 	2	5.9
271.45 	2	6.2
277.67 	2	6.2
280.65 	2	5.9
283.72 	2	5.5
288.34 	2	4.4
298.07 	2	4.3
303.22 	2	6.5
305.90 	2	6.1
311.49 	2	6.1
325.96 	2	6.8
328.94 	2	6.1
335.09 	2	6.2
339.36 	2	6.2
343.44 	2	6
353.20 	2	6
367.14 	2	7.9
370.25 	2	8.3
372.96 	2	8.5
375.91 	2	8.5
383.05 	2	6.7
394.65 	2	7
420.25 	2	4.2
428.20 	2	3
0.93 	2	3
2.95 	2	3
28.06 	2	4.5
348.08 	2	5.7
406.90 	2	5.5
425.05 	2	3
31.66 	2	4.7
33.51 	2	4.3
37.84 	2	4.2
42.79 	2	4
44.92 	2	3.7
50.79 	2	4.1
53.35 	2	4.1
57.13 	2	3.9
58.29 	2	4
61.88 	2	3.9
67.05 	2	3.4
71.96 	2	3.4
73.97 	2	3.8
77.80 	2	3.6
81.11 	2	3.6
83.67 	2	3.3
87.29 	2	3.4
90.60 	2	3.3
107.17 	2	3.2
122.19 	2	3.3
126.24 	2	3.5
133.87 	2	4.3
137.76 	2	4.5
144.16 	2	4.7
226.36 	2	6.3
230.95 	2	5.8
233.78 	2	5
236.60 	2	5.9
239.38 	2	5.9
245.80 	2	5.3
248.09 	2	5.5
259.87 	2	4.8
8.56 	2	1.2
81.58 	135	3.6
89.02 	135	3.6
72.83 	135	3.5
85.74 	135	3.6
76.64 	135	3.8
91.75 	135	3.9
96.54 	135	4.5
100.31 	135	4.3
102.14 	135	4.1
109.94 	135	4.1
111.28 	135	4.1
160.69 	135	3.4
164.04 	135	3.3
169.09 	135	3.7
232.67 	135	6.2
235.46 	135	4.6
237.18 	135	4.9
240.96 	135	4.5
244.27 	135	3.6
247.07 	135	3.5
249.80 	135	3.6
118.06 	135	3.8
120.91 	135	3.5
122.91 	135	3.1
128.51 	135	2.7
130.51 	135	2.7
133.95 	135	2.3
135.70 	135	1.2
139.64 	135	1.6
141.13 	135	1.6
143.62 	135	2
145.39 	135	1.6
147.32 	135	1.2
152.67 	135	1
155.67 	135	0.6
174.56 	135	2.4
180.60 	135	3.9
186.48 	135	3
188.51 	135	3.1
190.79 	135	3.6
195.32 	135	2.3
199.24 	135	2.3
200.90 	135	2.7
203.01 	135	3
207.66 	135	4.9
211.73 	135	4.5
214.04 	135	4.7
217.46 	135	4.7
221.64 	135	5.1
228.57 	135	6.8
256.82 	135	5.9
260.51 	135	6.2
264.21 	135	6.2
269.38 	135	6.2
272.38 	135	6.1
276.25 	135	6.2
281.74 	135	5.3
285.26 	135	6.3
287.81 	135	5.3
292.49 	135	4.4
298.27 	135	5.6
300.49 	135	6.1
307.53 	135	6.2
310.70 	135	6.3
316.44 	135	3.2
322.47 	135	3.2
345.86 	135	3.9
352.05 	135	3.6
356.06 	135	4.1
362.68 	135	3.1
368.54 	135	2.7
374.44 	135	8
377.55 	135	8.2
382.45 	135	4.3
388.44 	135	4.2
392.51 	135	4.5
399.67 	135	3.5
405.37 	135	2.7
410.70 	135	2.3
421.35 	135	7
422.97 	135	5.5
67.97 	135	3.3
157.65 	135	3.1
171.10 	135	3.7
177.97 	135	2.5
335.95 	135	5.1
340.91 	135	5.5
331.14 	135	3.9
371.20 	135	5.1
417.07 	135	6.2
427.29 	135	6.6
